region,product,price,predicted_demand,weekly_revenue,fla.to.storage,fla.to.storage.cost,storage.to.market,storage.to.market.cost,profit
NE,FCOJ,1.78,352.265559520748,1254065.39189386,967,74940.9751324439,479.1429,202542.650110673,976581.766650746
MA,FCOJ,1.53,500.140235970627,1530429.12207012,967,106399.833800391,286.7647,172107.077671255,1251922.21059847
SE,FCOJ,1.66,474.170613060817,1574246.43536191,967,100875.056222558,712.1667,405226.224888599,1068145.15425076
MW,FCOJ,1.55,668.491749747999,2072324.4242188,1470,216190.231868503,368.5909,295679.970818628,1560454.22153167
DS,FCOJ,1.45,524.910867373648,1522241.51538358,1522,175761.154831392,413.375,260382.035760698,1086098.32479149
NW,FCOJ,2.22,101.375658276492,450107.922747625,2961,66038.1313144724,659.125,80183.0769137913,303886.714519361
SW,FCOJ,2.01,199.756458511401,803020.963215832,2961,130125.352203497,659,157967.407390816,514928.203621519
