POJ_price_per_lb,R,ROJ_price_per_lb,obj
1.65502792096,0,11.7078824208,844986.018032
1.65630815575,1,11.1420320878,865958.968779
1.65759136609,2,10.6510182977,884966.569988
1.65887756354,3,10.2196776684,902366.857592
1.66016675968,4,9.83682662864,918428.398943
1.6614589662,5,9.49401186027,933357.595344
1.66275419483,6,9.18470905762,947316.369689
1.66405245737,7,8.90379152448,960434.016946
1.66535376568,8,8.64716739479,972815.375787
1.66665813168,9,8.41152568305,984546.605789
1.66796556737,10,8.19415457227,995699.362006
1.66927608481,11,7.9928088471,1006333.87018
1.67058969613,12,7.80561149855,1016501.23127
1.67190641352,13,7.63097955573,1026245.17513
1.67322624923,14,7.46756739629,1035603.41363
1.6745492156,15,7.31422286736,1044608.69768
1.67587532502,16,7.16995293052,1053289.65265
1.67720458996,17,7.03389648028,1061671.44532
1.67853702295,18,6.90530263071,1069776.32148
1.67987263659,19,6.78351321575,1077624.04322
1.68121144357,20,6.66794856991,1085232.24726
1.68255345662,21,6.55809588644,1092616.74109
1.68389868856,22,6.45349961843,1099791.74916
1.68524715228,23,6.35375351229,1106770.119
1.68659886074,24,6.25849395532,1113563.4949
1.68795382698,25,6.16739438867,1120182.46489
1.68931206409,26,6.08016058969,1126636.68601
1.69067358527,27,5.99652666829,1132934.99149
1.69203840377,28,5.91625165293,1139085.48282
1.69340653292,29,5.83911656628,1145095.6094
1.69477798612,30,5.76492190971,1150972.23751
1.69615277686,31,5.69348549073,1156721.71041
1.69753091869,32,5.62464053938,1162349.90084
1.69891242526,33,5.55823406935,1167862.25709
1.70029731027,34,5.49412544699,1173263.84355
1.70168558752,35,5.43218513785,1178559.37642
1.70307727088,36,5.37229360521,1183753.25551
1.7044723743,37,5.31434033939,1188849.59226
1.70587091181,38,5.25822299975,1193852.23492
1.70727289753,39,5.20384665433,1198764.79084
1.70867834564,40,5.15112310429,1203590.64657
1.71008727042,41,5.09997028203,1208332.98579
1.71149968623,42,5.05031171392,1212994.80556
1.71291560751,43,5.00207603938,1217578.93083
1.71433504879,44,4.95519657958,1222088.02764
1.71575802466,45,4.9096109498,1226524.61508
1.71718454983,46,4.86526071028,1230891.07605
1.71861463908,47,4.8220910512,1235189.66715
1.72004830727,48,4.78005050779,1239422.52763
1.72148556936,49,4.7390907024,1243591.68751
1.72292644037,50,4.69916611039,1247699.07508
1.72437093545,51,4.66023384739,1251746.52375
1.72581906982,52,4.62225347563,1255735.77827
1.72727085877,53,4.58518682737,1259668.50048
1.7287263177,54,4.54899784363,1263546.27463
1.73018546211,55,4.51365242672,1267370.61223
1.73164830757,56,4.47911830518,1271142.9565
1.73311486976,57,4.44536490993,1274864.68657
1.73458516444,58,4.41236326052,1278537.12127
1.73605920747,59,4.3800858605,1282161.52269
1.7375370148,60,4.3485066012,1285739.09946
1.73901860249,61,4.31760067286,1289271.00979
1.74050398667,62,4.28734448278,1292758.36433
1.7419931836,63,4.25771557961,1296202.22874
1.74348620961,64,4.22869258329,1299603.62622
1.74498308113,65,4.20025512025,1302963.53974
1.7464838147,66,4.17238376325,1306282.91418
1.74798842697,67,4.14505997568,1309562.65832
1.74949693466,68,4.11826605967,1312803.64671
1.75100935461,69,4.09198510796,1316006.72141
1.75252570377,70,4.06620095905,1319172.6936
1.75404599917,71,4.04089815541,1322302.34511
1.75557025796,72,4.01606190459,1325396.42988
1.7570984974,73,3.99167804284,1328455.67527
1.75863073483,74,3.96773300116,1331480.78335
1.76016698773,75,3.94421377359,1334472.43205
1.76170727365,76,3.92110788754,1337431.27632
1.76325161029,77,3.89840337594,1340357.94918
1.76480001541,78,3.87608875123,1343253.06267
1.76635250693,79,3.85415298096,1346117.20884
1.76790910284,80,3.83258546483,1348950.96058
1.76946982126,81,3.81137601317,1351754.87251
1.77103468042,82,3.79051482674,1354529.48174
1.77260369866,83,3.76999247766,1357275.30859
1.77417689444,84,3.74979989155,1359992.85735
1.77575428633,85,3.72992833067,1362682.61691
1.77733589302,86,3.71036937799,1365345.06141
1.7789217333,87,3.69111492225,1367980.65084
1.78051182611,88,3.67215714381,1370589.83159
1.78210619047,89,3.65348850131,1373173.03704
1.78370484556,90,3.63510171906,1375730.688
1.78530781064,91,3.61698977515,1378263.19327
1.78691510512,92,3.59914589015,1380770.95005
1.78852674853,93,3.58156351645,1383254.34444
1.79014276051,94,3.56423632822,1385713.75178
1.79176316083,95,3.54715821175,1388149.53715
1.79338796939,96,3.53032325649,1390562.05564
1.79501720621,97,3.51372574639,1392951.65281
1.79665089145,98,3.49736015175,1395318.66499
1.79828904539,99,3.48122112152,1397663.41963
1.79993168843,100,3.46530347592,1399986.23557
1.80157884111,101,3.44960219943,1402287.42341
1.80323052411,102,3.43411243421,1404567.28577
1.80488675824,103,3.41882947375,1406826.11752
1.80654756442,104,3.40374875686,1409064.20613
1.80821296374,105,3.38886586195,1411281.83185
1.80988297741,106,3.37417650162,1413479.26799
1.81155762677,107,3.35967651741,1415656.78113
1.81323693331,108,3.34536187491,1417814.63135
1.81492091865,109,3.331228659,1419953.07246
1.81660960457,110,3.3172730694,1422072.35216
1.81830301297,111,3.30349141633,1424172.71228
1.82000116591,112,3.28988011644,1426254.38894
1.82170408557,113,3.27643568887,1428317.61273
1.82341179431,114,3.26315475155,1430362.60891
1.82512431461,115,3.2500340176,1432389.59753
1.82684166911,116,3.23707029189,1434398.79364
1.82856388059,117,3.22426046783,1436390.40738
1.830290972,118,3.2116015242,1438364.6442
1.83202296642,119,3.19909052215,1440321.70495
1.8337598871,120,3.18672460238,1442261.78603
