region,product,price,predicted_demand,revenue,weekly_demand,storage_dist,g_p_dist,p_s_dist,num_tanker_cars_needed,tanker_car_weekly_purchase_cost,tanker_car_weekly_travel_cost,tanker_car_weekly_hold_cost,g_p_weekly_cost,storage_market_weekly_cost,weekly_storage_build,weekly_storage_maint,weekly_proc_build,weekly_proc_maint,reconstitution_cost,raw_material_cost,manufacturing_cost,year1_profit,profit
NE,ROJ,3.79,62.9356691192852,477052.371924182,62.9356691192852,479.1429,773,317,4.19571127461901,8741.06515545628,23940.7285329761,20.9785563730951,10702.8398904256,36186.2148183057,7866.95863991065,852.253852656987,10489.2781865475,3277.8994332961,40908.1849275354,84480.9307015272,125871.33823857,123713.700990601,150811.002972515
MA,ROJ,3.52,133.962488641993,943095.920039631,133.962488641993,286.7647,773,317,8.93083257613287,18605.9012002768,50959.3306794141,44.6541628806643,22781.6608184573,46098.8554400094,16745.3110802491,1814.07536702699,22327.0814403322,6977.2129501038,87075.6176172954,179822.918830308,267924.977283986,221918.323169291,279596.616890149
SE,ROJ,4,44.3184375700957,354547.500560766,44.3184375700957,712.1667,773,317,2.95456250467305,6155.33855140218,16858.7336516644,14.7728125233652,7536.79349317047,37874.5385201413,5539.80469626196,600.145508761713,7386.40626168262,2308.25195677582,28806.9844205622,59490.3161522427,88636.8751401914,93338.5393953855,112420.088904732
MW,ROJ,3.53,77.7607455512489,548990.863591817,77.7607455512489,368.5909,1528,98,5.18404970341659,10800.1035487846,9144.66367682687,25.920248517083,26140.0522245078,34394.283824887,9720.09319390611,1053.0100960065,12960.1242585415,4050.03883079421,50544.4846083118,104381.191908249,155521.491102498,130255.406069987,163735.727071219
DS,ROJ,3.99,41.6810745372686,332614.974807403,41.6810745372686,413.375,381,140,2.77873830248457,5789.0381301762,7002.42052226113,13.8936915124229,3493.70766771385,20675.8970242121,5210.13431715857,564.431217692179,6946.84575621143,2170.88929881607,27092.6984492246,63323.5796656661,83362.1490745372,106969.289992222,124915.308195768
NW,ROJ,4,25.7631145975688,206104.91678055,25.7631145975688,659.125,351,393,1.71754097317125,3578.21036077344,12149.8848442134,8.58770486585627,1989.42770922426,20377.335490947,3220.3893246961,348.875510175411,4293.85243292813,1341.82888529004,16746.0244884197,36214.9171188044,51526.2291951376,54309.3537150749,65401.8058334726
SW,ROJ,4,56.118407684377,448947.261475016,56.118407684377,659,351,393,3.74122717895847,7794.2232894968,26465.4410639522,18.7061358947923,4333.46344138759,44378.4367968053,7014.80096054712,759.936770725938,9353.06794739617,2922.8337335613,36476.964994845,78885.0073011271,112236.815368754,118307.563670523,142469.655867963
