region,product,price,predicted_demand,weekly_revenue,fla.to.storage,fla.to.storage.cost,storage.to.market,storage.to.market.cost,purchase_cost,profit
NE,FCOJ,2.36,182.849135592743,863047.919997747,967,38899.3251060001,479.1429,105133.03810848,351724.401569935,367291.155213332
MA,FCOJ,2.14,234.664381489701,1004363.55277592,967,49922.500518119,286.7647,80752.1531502956,451395.019624691,422293.879482815
SE,FCOJ,2.35,212.684933964376,999619.189632567,967,45246.5928515814,712.1667,181760.553073353,409115.858705379,363496.185002254
MW,FCOJ,2.23,291.695763511534,1300963.10526144,1470,94334.4099196301,368.5909,129019.684798684,561099.277439797,516509.73310333
DS,FCOJ,2.55,151.425002292364,772267.511691056,1522,50703.1477675752,413.375,75114.3723871272,291277.659811489,355172.331724865
NW,FCOJ,3.14,44.4508198562408,279151.148697192,2961,28956.1530707524,659.125,35158.3759652937,85504.5771069524,129532.042554194
SW,FCOJ,3.57,55.6087317476504,397046.344678224,2961,36224.6400350544,659,43975.3850660419,106967.680391822,209878.639185306
