region,product,price,predicted_demand,revenue,weekly_demand,fla.to.storage,fla.to.storage.cost,storage.to.market,storage.to.market.cost,purchase_cost,profit
NE,FCOJ,2.02000000000001,192.631190705455,889956.101059202,192.631190705455,967,40980.3595106785,479.1429,110757.440814078,370540.938325711,367677.362408735
MA,FCOJ,1.86,232.088105641698,997978.854259301,232.088105641698,967,49374.4235942148,286.7647,79865.6111854918,446439.354518698,422299.464960897
SE,FCOJ,2.19000000000001,186.098643641764,923049.272463149,186.098643641764,967,39590.6254483489,712.1667,159039.908300197,357975.08068982,366443.658024783
MW,FCOJ,1.99000000000001,276.421379209083,1260481.48919342,276.421379209083,1470,89394.6740362174,368.5909,122263.685930301,531717.822281625,517105.306945276
DS,FCOJ,2.13000000000001,171.114131424579,828192.396094962,171.114131424579,1522,57295.855766206,413.375,84881.1648931624,329151.21682346,356864.158612133
NW,FCOJ,2.56000000000001,56.5994621533414,322616.934274046,56.5994621533414,2961,36870.0216359297,659.125,44767.3445901854,108873.426666909,132106.141381022
SW,FCOJ,2.72000000000001,82.7906369570707,498399.634481566,82.7906369570707,2961,53931.476726575,659,65470.8357056515,159254.169536666,219743.152512674
