demand,price,region,sales,revenue,weekly_demand,storage_dist,g_p_dist,p_s_dist,tanker_cars_used,tanker_car_weekly_travel_cost,g_p_weekly_cost,storage_market_weekly_cost,manufacturing_cost,profit
1925.51348749,1.81818181818,NE,962.756743746,7001867.22722936,481.3783718725,422.7143,1608,1213,37.5,1637550,170292.412833616,244182.625801468,481378.3718725,4468463.81672178
1683.75813304,1.81818181818,MA,841.879066522,6122756.84741206,420.93953326,359,1608,1213,37.5,1637550,148911.569286058,181340.750928408,420939.53326,3734014.99393759
2001.25424742,1.81818181818,SE,1000.62712371,7277288.17242909,500.313561855,879,1608,1213,37.5,1637550,176990.925641825,527730.745044654,500313.561855,4434702.93988761
2576.89779519,1.81818181818,MW,1288.44889759,9370537.43704518,644.2244487975,772.6364,1608,1213,37.5,1637550,227900.841006604,597301.510693062,644224.4487975,6263560.63654801
1146.25368152,2.09090909091,DS,573.126840762,4793424.48635845,286.56342038,469.25,439,2470,48.5,4312620,27676.2951403004,161363.862015978,286563.42038,5200.90882216953
634.861458751,2.09090909091,NW,317.430729376,2654875.1911417,158.71536468775,1700.75,439,2470,48.5,4312620,15328.7299215429,323922.187791229,158715.36468775,-2155711.09125882
1356.65800389,2.09090909091,SW,678.329001947,5673297.10717883,339.1645009725,1665.1818,439,2470,48.5,4312620,32756.507503924,677724.665070587,339164.5009725,311031.433631819
