demand,price,region,sales,revenue,weekly_demand
1925.51348749,1.81818181818,NE,962.756743746,7001867.22722936,481.3783718725
1683.75813304,1.81818181818,MA,841.879066522,6122756.84741206,420.93953326
2001.25424742,1.81818181818,SE,1000.62712371,7277288.17242909,500.313561855
2576.89779519,1.81818181818,MW,1288.44889759,9370537.43704518,644.2244487975
1146.25368152,2.09090909091,DS,573.126840762,4793424.48635845,286.56342038
634.861458751,2.09090909091,NW,317.430729376,2654875.1911417,158.71536468775
1356.65800389,2.09090909091,SW,678.329001947,5673297.10717883,339.1645009725
