region,S35_dist,S51_dist,S59_dist,S73_dist,d
DS,413.375,1370.3125,1645.8125,1079.125,413.375
MA,1292.35294118,286.764705882,2519.11764706,680.705882353,286.764705882
MW,1017.40909091,841.136363636,1892.13636364,368.590909091,368.590909091
NE,1901.07142857,479.142857143,3015.64285714,1050.14285714,479.142857143
NW,1425.375,2334.0,659.125,1609.0,659.125
SE,1376.91666667,712.166666667,2778.0,1191.16666667,712.166666667
SW,1531.72727273,2800.27272727,659.0,2154.36363636,659.0
