region,product,price,predicted_demand,revenue,weekly_demand,fla.to.storage,fla.to.storage.cost,storage.to.market,storage.to.market.cost,weekly_storage_build,weekly_storage_maint,purchase_cost,reconstitution_cost,year1_profit,profit
NE,ROJ,2.7,163.174978536477,881144.884096976,163.174978536477,967,34713.8449338501,479.1429,93820.9589080864,20396.8723170596,2209.66116768146,296978.460936388,106063.73604871,326961.3497852,347358.22210226
MA,ROJ,2.62,329.509630297109,1726630.46275685,329.509630297109,967,70099.878749407,286.7647,113390.076335114,41188.7037871386,4462.10957694002,599707.527140738,214181.259693121,683600.907474393,724789.611261531
SE,ROJ,3.39,75.9771637081972,515125.169941577,75.9771637081972,967,16163.3818072819,712.1667,64930.0871441119,9497.14546352465,1028.85742521517,138278.437948919,49385.1564103282,235842.103742196,245339.249205721
MW,ROJ,3.04,132.812259445748,807498.537430148,132.812259445748,1470,42951.4847047549,368.5909,58744.0682881701,16601.5324307185,1798.49934666117,241718.312191261,86327.9686397362,359356.671828846,375958.204259564
DS,ROJ,3.04,87.0081640602188,529009.63748613,87.0081640602188,1522,29133.8136539237,413.375,43160.3997820715,10876.0205075273,1178.23555498213,158354.858589598,56555.3066391422,229751.002758885,240627.023266413
NW,ROJ,3.23,38.2776848567514,247273.844174614,38.2776848567514,2961,24934.849469385,659.125,30275.7348374475,4784.71060709393,518.343649101842,69665.3864392876,24880.4951568884,92214.3240154098,96999.0346225037
SW,ROJ,3.92,59.1722691147182,463910.589859391,59.1722691147182,2961,38545.9995467097,659,46793.4304159192,7396.53363933977,801.291144261809,107693.529788787,38461.9749245668,224217.830399806,231614.364039146
