month,foreign,rate
Apr,BRA Real,
Aug,BRA Real,
Dec,BRA Real,
Feb,BRA Real,
Jan,BRA Real,
Jul,BRA Real,
Jun,BRA Real,
Mar,BRA Real,
May,BRA Real,
Nov,BRA Real,
Oct,BRA Real,
Sep,BRA Real,
Apr,SPA Euro,
Aug,SPA Euro,
Dec,SPA Euro,
Feb,SPA Euro,
Jan,SPA Euro,
Jul,SPA Euro,
Jun,SPA Euro,
Mar,SPA Euro,
May,SPA Euro,
Nov,SPA Euro,
Oct,SPA Euro,
Sep,SPA Euro,
