region,product,price,predicted_demand
NE,ORA,1,958.28835625887
NE,ORA,1.01,938.865556221162
NE,ORA,1.02,920.011210075809
NE,ORA,1.03,901.703349461648
NE,ORA,1.04,883.921057085965
NE,ORA,1.05,866.644406951314
NE,ORA,1.06,849.854408510853
NE,ORA,1.07,833.532954459859
NE,ORA,1.08,817.662771895333
NE,ORA,1.09,802.227376597649
NE,ORA,1.1,787.211030208219
NE,ORA,1.11,772.598700095406
NE,ORA,1.12,758.376021717539
NE,ORA,1.13,744.529263307024
NE,ORA,1.14,731.045292713391
NE,ORA,1.15,717.911546255755
NE,ORA,1.16,705.115999446696
NE,ORA,1.17,692.647139460179
NE,ORA,1.18,680.493939225747
NE,ORA,1.19,668.645833040144
NE,ORA,1.2,657.092693595621
NE,ORA,1.21,645.824810331648
NE,ORA,1.22,634.832869023626
NE,ORA,1.23,624.107932528448
NE,ORA,1.24,613.641422612605
NE,ORA,1.25,603.425102793805
NE,ORA,1.26,593.45106213204
NE,ORA,1.27,583.711699910508
NE,ORA,1.28,574.199711151012
NE,ORA,1.29,564.908072912267
NE,ORA,1.3,555.830031323146
NE,ORA,1.31,546.959089306133
NE,ORA,1.32,538.288994949335
NE,ORA,1.33,529.813730488164
NE,ORA,1.34,521.527501860455
NE,ORA,1.35,513.424728801141
NE,ORA,1.36,505.500035444882
NE,ORA,1.37,497.748241407082
NE,ORA,1.38,490.164353315679
NE,ORA,1.39,482.743556767834
NE,ORA,1.4,475.481208687353
NE,ORA,1.41,468.372830060167
NE,ORA,1.42,461.414099026658
NE,ORA,1.43,454.600844310926
NE,ORA,1.44,447.929038968364
NE,ORA,1.45,441.394794434013
NE,ORA,1.46,434.994354855298
NE,ORA,1.47,428.724091693702
NE,ORA,1.48,422.580498580905
NE,ORA,1.49,416.560186415763
NE,ORA,1.5,410.659878689325
NE,ORA,1.51,404.876407025857
NE,ORA,1.52,399.206706928522
NE,ORA,1.53,393.647813719076
NE,ORA,1.54,388.196858661511
NE,ORA,1.55,382.851065260196
NE,ORA,1.56,377.60774572359
NE,ORA,1.57,372.46429758512
NE,ORA,1.58,367.418200473291
NE,ORA,1.59,362.46701302354
NE,ORA,1.6,357.608369924776
NE,ORA,1.61,352.839979093927
NE,ORA,1.62,348.159618972198
NE,ORA,1.63,343.565135937081
NE,ORA,1.64,339.054441824491
NE,ORA,1.65,334.625511555703
NE,ORA,1.66,330.27638086405
NE,ORA,1.67,326.005144116633
NE,ORA,1.68,321.809952226511
NE,ORA,1.69,317.689010651119
NE,ORA,1.7,313.640577472852
NE,ORA,1.71,309.662961558002
NE,ORA,1.72,305.754520790389
NE,ORA,1.73,301.913660376274
NE,ORA,1.74,298.138831217248
NE,ORA,1.75,294.428528348034
NE,ORA,1.76,290.78128943624
NE,ORA,1.77,287.195693341271
NE,ORA,1.78,283.670358729757
NE,ORA,1.79,280.203942744978
NE,ORA,1.8,276.795139727881
NE,ORA,1.81,273.442679987427
NE,ORA,1.82,270.145328618106
NE,ORA,1.83,266.90188436255
NE,ORA,1.84,263.711178517309
NE,ORA,1.85,260.572073879907
NE,ORA,1.86,257.48346373543
NE,ORA,1.87,254.444270880931
NE,ORA,1.88,251.453446686083
NE,ORA,1.89,248.509970188512
NE,ORA,1.9,245.612847222382
