leftover,product,storage,t
-44.0803639139,ROJ,S35,10.0
-54.2041697262,FCOJ,S35,10.0
-43.069392557,ORA,S73,10.0
-39.2572711533,POJ,S73,10.0
-48.9702195207,ROJ,S73,10.0
-35.5235881586,FCOJ,S73,10.0
-23.7061902572,ORA,S59,10.0
-47.4800508469,POJ,S59,10.0
-58.1293878232,ROJ,S59,10.0
-43.319342952,FCOJ,S59,10.0
-65.5835931029,ORA,S51,10.0
-113.585299794,POJ,S51,10.0
-70.3099092892,ROJ,S51,10.0
-135.134825208,FCOJ,S51,10.0
-44.7410858204,ORA,S35,11.0
37.4978641032,POJ,S35,11.0
-35.7996752398,ROJ,S35,11.0
-52.7238984837,FCOJ,S35,11.0
-34.9305533394,ORA,S73,11.0
-38.7393039061,POJ,S73,11.0
-50.5723800639,ROJ,S73,11.0
-9.22413731319,FCOJ,S73,11.0
-29.3963819232,ORA,S59,11.0
-47.5368549288,POJ,S59,11.0
-53.0188150781,ROJ,S59,11.0
-55.04469751,FCOJ,S59,11.0
-71.8336398713,ORA,S51,11.0
-116.201282652,POJ,S51,11.0
-70.3828141059,ROJ,S51,11.0
-155.460828817,FCOJ,S51,11.0
-36.2942824868,ORA,S35,12.0
1.22063394612,POJ,S35,12.0
-33.8622611498,ROJ,S35,12.0
-69.636450597,FCOJ,S35,12.0
-36.8893802538,ORA,S73,12.0
-39.1681495203,POJ,S73,12.0
-46.6955626409,ROJ,S73,12.0
-7.79143242929,FCOJ,S73,12.0
-29.7195870219,ORA,S59,12.0
-44.2223955579,POJ,S59,12.0
-61.1012839957,ROJ,S59,12.0
-54.2044186785,FCOJ,S59,12.0
-55.2055339056,ORA,S51,12.0
-110.817084586,POJ,S51,12.0
-72.8618852654,ROJ,S51,12.0
-182.567850938,FCOJ,S51,12.0
-41.6916755768,ORA,S35,13.0
-32.8100376041,POJ,S35,13.0
-39.5267851769,ROJ,S35,13.0
-93.4531375888,FCOJ,S35,13.0
-40.8551801036,ORA,S73,13.0
-93.4617097249,POJ,S73,13.0
-46.7186977392,ROJ,S73,13.0
-49.9437591742,FCOJ,S73,13.0
-35.9830737277,ORA,S59,13.0
-43.4878819177,POJ,S59,13.0
-51.5772791617,ROJ,S59,13.0
-39.2089322789,FCOJ,S59,13.0
-99.882881486,ORA,S51,13.0
-112.086265597,POJ,S51,13.0
-77.40717895,ROJ,S51,13.0
-235.776884245,FCOJ,S51,13.0
-40.9278903716,ORA,S35,14.0
-30.9175872113,POJ,S35,14.0
-35.4616138837,ROJ,S35,14.0
-66.3362717214,FCOJ,S35,14.0
-46.8129435011,ORA,S73,14.0
18.8644685141,POJ,S73,14.0
-55.6091451112,ROJ,S73,14.0
32.0256745675,FCOJ,S73,14.0
-32.3418255457,ORA,S59,14.0
-44.1300287522,POJ,S59,14.0
-57.329797454,ROJ,S59,14.0
-41.8043536043,FCOJ,S59,14.0
-79.4844737465,ORA,S51,14.0
-118.544922694,POJ,S51,14.0
-69.6194566698,ROJ,S51,14.0
-140.233133433,FCOJ,S51,14.0
-45.6962195318,ORA,S35,15.0
-35.1043626486,POJ,S35,15.0
-35.2255832851,ROJ,S35,15.0
-90.9056017953,FCOJ,S35,15.0
