region,product,price,predicted_demand,weekly_revenue,fla.to.storage,fla.to.storage.cost,storage.to.market,storage.to.market.cost,profit
NE,FCOJ,2.01,267.479175706553,1075266.28634034,967,56903.5198398121,479.1429,153792.897525177,864569.868975354
MA,FCOJ,1.82,340.861902231179,1240737.32412149,967,72514.961080661,286.7647,117296.593361704,1050925.76967913
SE,FCOJ,1.28,830.048626530738,2124924.48391869,354,64644.1870342139,290.5833,289437.922869323,1770842.37401515
MW,FCOJ,1.54,677.985315813537,2088194.77270569,1470,219260.451134098,368.5909,299879.061290995,1569055.2602806
DS,FCOJ,1.47,509.993917439135,1499382.11727106,1522,170766.36331532,413.375,252982.482745683,1075633.27121005
NW,FCOJ,2.97,51.3097358538992,304779.830972161,2961,33424.188129947,659.125,40583.4355736416,230772.207268573
SW,FCOJ,2.43,133.343490403798,648049.363362458,2961,86862.6165188421,659,105448.032211323,455738.714632293
