region,product,price,predicted_demand,revenue,weekly_demand,storage_dist,g_p_dist,p_s_dist,num_tanker_cars_needed,tanker_car_weekly_purchase_cost,tanker_car_weekly_travel_cost,tanker_car_weekly_hold_cost,g_p_weekly_cost,storage_market_weekly_cost,weekly_proc_build,weekly_proc_maint,weekly_storage_build,weekly_storage_maint,manufacturing_cost,raw_material_cost,year1_profit,profit
NE,POJ,3.36,84.3976390625847,567152.134500569,84.3976390625847,479.1429,773,317,5.62650927083898,11721.8943142479,32104.8618994072,28.1325463541949,14352.6624989832,48526.2354403201,14066.2731770974,4395.71036784295,10549.7048828231,1142.88469563917,168795.278125169,113290.145267303,148178.351285382,184516.22365955
MA,POJ,3.64,175.176686382813,1275286.27686688,175.176686382813,286.7647,773,317,11.6784457588542,24330.0953309462,66637.2115000221,58.392228794271,29790.5472862612,60281.3879010737,29196.1143971355,9123.78574910484,21897.0857978516,2372.18429476726,350353.372765626,235146.296367806,446099.80324749,521523.098773424
SE,POJ,3.23,89.9059132840075,580792.199814688,89.9059132840075,290.5833,773,462,5.99372755226717,12486.9324005566,49843.8383246538,29.9686377613358,15289.3996130783,31350.1883658969,14984.3188806679,4682.59965020872,11238.2391605009,1217.47590905427,179811.826568015,120684.110236564,139173.30206773,177882.792509456
MW,POJ,3.73,94.2104539505978,702809.98647146,94.2104539505978,368.5909,1528,98,6.28069693003985,13084.7852709164,11079.1493845903,31.4034846501993,31669.786200033,41670.1392132713,15701.7423250996,4906.79447659364,11776.3067438247,1275.76656391435,188420.907901196,126462.258095243,256730.946812127,297293.781151968
DS,POJ,3.24,123.292807108337,798937.390062024,123.292807108337,413.375,381,140,8.21952047388913,17124.000987269,20713.1915942006,41.0976023694457,10334.4030918208,61159.3969660906,20548.8011847228,6421.50037022589,15411.6008885421,1669.59009625873,246585.614216674,187311.435220979,211616.757842871,264701.160903405
NW,POJ,4,29.8787088333507,239029.670666806,29.8787088333507,659.125,351,393,1.99191392222338,4149.82067129871,14090.7990858082,9.9595696111169,2307.23389611134,23632.5647517387,4979.78480555845,1556.18275173702,3734.83860416884,404.607515451624,59757.4176667014,42000.1611186714,82406.3002299488,95270.7443109748
SW,POJ,4,56.769822972009,454158.583776072,56.769822972009,659,351,393,3.7846548648006,7884.69763500125,26772.6485135994,18.923274324003,4383.76572989854,44893.5760062647,9461.6371620015,2956.76161312547,7096.22787150113,768.758019412622,113539.645944018,79800.6943607089,156581.247646216,181023.81031472
