intercept,c1,region,product
-12.4007512938274,859.988372529095,NE,ORA
-16.0937846794971,1590.68370233712,MA,ORA
-30.7039923721634,1019.59556438951,SE,ORA
-6.4052257659088,1388.77201261645,MW,ORA
-13.0536740744261,832.936130402283,DS,ORA
6.75922703705551,395.555709746853,NW,ORA
14.7119430435033,578.353939871007,SW,ORA
-28.3800635399617,1488.10352254907,NE,POJ
-75.1500019048241,3343.8915567088,MA,POJ
1.50745049751652,1181.07712991595,SE,POJ
-13.5011352389524,1825.61486440522,MW,POJ
-80.8854699895867,2391.13989838437,DS,POJ
7.68392743666309,494.717751868918,NW,POJ
9.19229362663364,890.605438922339,SW,POJ
-31.3131326038996,1453.2152647305,NE,ROJ
-56.0831954732845,2666.21053075842,MA,ROJ
-6.26241127436926,927.713070991956,SE,ROJ
-14.1569196648718,1337.09013991631,MW,ROJ
-22.045439616218,945.34192413825,DS,ROJ
-4.97794900562409,482.667415328988,NW,ROJ
-3.35680397490224,925.622212813441,SW,ROJ
-21.2642764919867,1118.60810418021,NE,FCOJ
-5.58299042974995,910.667033881978,MA,FCOJ
-5.15005984985503,1039.9070462524,SE,FCOJ
-50.9703118402903,1741.38964089033,MW,FCOJ
-11.1837727714693,959.371941196923,DS,FCOJ
-18.1502729080818,600.439969386172,NW,FCOJ
-17.1692226374584,889.534421859275,SW,FCOJ
