region,product,price,predicted_demand
NE,ORA,1,845.937663470659
NE,ORA,1.01,828.947281794765
NE,ORA,1.02,812.454163570974
NE,ORA,1.03,796.439091650357
NE,ORA,1.04,780.883768321659
NE,ORA,1.05,765.770763023828
NE,ORA,1.06,751.083463495064
NE,ORA,1.07,736.806030102681
NE,ORA,1.08,722.923353119243
NE,ORA,1.09,709.421012729763
NE,ORA,1.1,696.28524157223
NE,ORA,1.11,683.502889629727
NE,ORA,1.12,671.061391306916
NE,ORA,1.13,658.948734536945
NE,ORA,1.14,647.153431776911
NE,ORA,1.15,635.664492761093
NE,ORA,1.16,624.471398891228
NE,ORA,1.17,613.564079152421
NE,ORA,1.18,602.932887451653
NE,ORA,1.19,592.568581283691
NE,ORA,1.2,582.462301636256
NE,ORA,1.21,572.605554052868
NE,ORA,1.22,562.990190777761
NE,ORA,1.23,553.608393912787
NE,ORA,1.24,544.452659521275
NE,ORA,1.25,535.51578261849
NE,ORA,1.26,526.790842992623
NE,ORA,1.27,518.271191804209
NE,ORA,1.28,509.950438915496
NE,ORA,1.29,501.822440904698
NE,ORA,1.3,493.88128972313
NE,ORA,1.31,486.121301956116
NE,ORA,1.32,478.537008651236
NE,ORA,1.33,471.12314567989
NE,ORA,1.34,463.87464460048
NE,ORA,1.35,456.786623993584
NE,ORA,1.36,449.854381241464
NE,ORA,1.37,443.073384726058
NE,ORA,1.38,436.43926642128
NE,ORA,1.39,429.947814857022
NE,ORA,1.4,423.594968433694
NE,ORA,1.41,417.376809067476
NE,ORA,1.42,411.289556147728
NE,ORA,1.43,405.329560789149
NE,ORA,1.44,399.493300362366
NE,ORA,1.45,393.777373287654
NE,ORA,1.46,388.178494077409
NE,ORA,1.47,382.693488613882
NE,ORA,1.48,377.319289649513
NE,ORA,1.49,372.052932517935
NE,ORA,1.5,366.891551044472
NE,ORA,1.51,361.832373645576
NE,ORA,1.52,356.872719607304
NE,ORA,1.53,352.009995533501
NE,ORA,1.54,347.241691954904
NE,ORA,1.55,342.565380090884
NE,ORA,1.56,337.978708756028
NE,ORA,1.57,333.479401404199
NE,ORA,1.58,329.065253303145
NE,ORA,1.59,324.734128833097
NE,ORA,1.6,320.483958903185
NE,ORA,1.61,316.312738479834
NE,ORA,1.62,312.218524221621
NE,ORA,1.63,308.199432215396
NE,ORA,1.64,304.253635808734
NE,ORA,1.65,300.37936353406
NE,ORA,1.66,296.574897120048
NE,ORA,1.67,292.838569586128
NE,ORA,1.68,289.168763416142
NE,ORA,1.69,285.563908807432
NE,ORA,1.7,282.022481991805
NE,ORA,1.71,278.543003625029
NE,ORA,1.72,275.124037241684
NE,ORA,1.73,271.764187772351
NE,ORA,1.74,268.462100120281
NE,ORA,1.75,265.216457794833
NE,ORA,1.76,262.025981599112
NE,ORA,1.77,258.889428369358
NE,ORA,1.78,255.805589763773
NE,ORA,1.79,252.773291098572
NE,ORA,1.8,249.791390229182
NE,ORA,1.81,246.858776474585
NE,ORA,1.82,243.974369582914
NE,ORA,1.83,241.137118736518
NE,ORA,1.84,238.346001594761
NE,ORA,1.85,235.600023372956
NE,ORA,1.86,232.898215955857
NE,ORA,1.87,230.239637044252
NE,ORA,1.88,227.623369333247
NE,ORA,1.89,225.048519720901
NE,ORA,1.9,222.514218545943
NE,ORA,1.91,220.019618853348
NE,ORA,1.92,217.563895686622
NE,ORA,1.93,215.146245405688
NE,ORA,1.94,212.765885029322
NE,ORA,1.95,210.422051601126
NE,ORA,1.96,208.1140015781
NE,ORA,1.97,205.841010240871
NE,ORA,1.98,203.602371124729
NE,ORA,1.99,201.397395470619
NE,ORA,2,199.225411695307
NE,ORA,2.01,197.085764879948
NE,ORA,2.02,194.977816276333
NE,ORA,2.03,192.90094283012
NE,ORA,2.04,190.854536720386
NE,ORA,2.05,188.838004914858
NE,ORA,2.06,186.850768740231
NE,ORA,2.07,184.89226346697
NE,ORA,2.08,182.961937908057
NE,ORA,2.09,181.059254031143
NE,ORA,2.1,179.183686583599
NE,ORA,2.11,177.334722729977
NE,ORA,2.12,175.511861701408
NE,ORA,2.13,173.714614456503
NE,ORA,2.14,171.942503353312
NE,ORA,2.15,170.195061831946
NE,ORA,2.16,168.471834107453
NE,ORA,2.17,166.772374872585
NE,ORA,2.18,165.096249010083
NE,ORA,2.19,163.443031314139
NE,ORA,2.2,161.8123062207
NE,ORA,2.21,160.203667546294
NE,ORA,2.22,158.616718235074
NE,ORA,2.23,157.051070113786
NE,ORA,2.24,155.506343654371
