intercept,c1,region,product
-16.3453388964771,862.283002367136,NE,ORA
-6.96317172555002,1587.59399615921,MA,ORA
-24.3924614082373,1013.8656160099,SE,ORA
11.8101863938521,1371.14160019786,MW,ORA
-4.82179941593762,826.637906165578,DS,ORA
11.2731689165743,388.221208154323,NW,ORA
10.3412691324098,583.969777699416,SW,ORA
-40.4336595709004,1537.94543831238,NE,POJ
-77.0074168035207,3351.43227516872,MA,POJ
3.90133641253091,1169.9102154251,SE,POJ
-2.12681208714999,1772.55632338166,MW,POJ
-59.5912468546415,2305.72901653148,DS,POJ
0.983643541409776,525.972999603767,NW,POJ
15.4705234681369,861.318974035154,SW,POJ
-43.332694998077,1505.4409400669,NE,ROJ
-63.7949315804597,2699.79983455238,MA,ROJ
-3.73858277624521,916.101330173861,SE,ROJ
-9.60157888454576,1316.13172831324,MW,ROJ
-8.58042280723502,883.391484394261,DS,ROJ
-10.3595351883146,507.427253008169,NW,ROJ
-0.0848377696835693,910.568407228472,SW,ROJ
-21.2642764919867,1118.60810418021,NE,FCOJ
-5.58299042974995,910.667033881978,MA,FCOJ
-5.15005984985503,1039.9070462524,SE,FCOJ
-19.8180145342935,1469.70513928915,MW,FCOJ
-11.1837727714693,959.371941196923,DS,FCOJ
-5.13930534352939,460.666930739134,NW,FCOJ
-9.68943131975938,811.353913579823,SW,FCOJ
