region,product,price,predicted_demand,revenue,weekly_demand,fla.to.storage,fla.to.storage.cost,storage.to.market,storage.to.market.cost,weekly_storage_build,weekly_storage_maint,purchase_cost,year1_profit,profit
NE,FCOJ,2.37,177.886163106406,843180.413124364,177.886163106406,967,37843.5023392568,479.1429,102279.470472812,22235.7703883007,2408.87512539925,323752.816853659,354659.977944937,376895.748333238
MA,FCOJ,2.31,165.07854775019,762662.890605878,165.07854775019,967,35118.8102483754,286.7647,56806.4402664227,20634.8184687738,2235.43866745049,300442.956905346,347424.42604951,368059.244518283
SE,FCOJ,2.79,128.443682040974,716715.745788635,128.443682040974,967,27325.1089173968,712.1667,109767.975809964,16055.4602551218,1739.34152763819,233767.501314573,328060.357963942,344115.818219064
MW,FCOJ,2.41,233.226034171677,1124149.48470748,233.226034171677,1470,75425.2994511203,368.5909,103157.992606523,29153.2542714596,3158.26921274146,424471.382192452,488783.286973187,517936.541244646
DS,FCOJ,2.49,143.55114137458,714884.684045408,143.55114137458,1522,48066.6641778644,413.375,71208.5436788604,17943.8926718225,1943.9217061141,261263.077301736,314458.584509011,332402.477180834
NW,FCOJ,2.98,46.7352645788991,278542.176890239,46.7352645788991,2961,30444.2860519865,659.125,36965.2575186802,5841.90807236239,632.873374505925,85058.1815335964,119599.670339107,125441.57841147
SW,FCOJ,2.96,82.9139645873607,490850.670357175,82.9139645873607,2961,54011.8148114985,659,65568.3631956848,10364.2455734201,1122.79327045384,150903.415548996,208880.037957122,219244.283530542
