R,obj
0,844986.018032
1,853835.517452
2,862539.49795
3,871102.498247
4,879528.848087
5,887822.680686
6,895987.944275
7,904028.412821
8,911947.695984
9,919749.248386
10,927436.378243
11,935012.255408
12,942479.918875
13,949842.283787
14,957102.147988
15,964262.198149
16,971325.015504
17,978293.081226
18,985168.781464
19,991954.412076
20,998652.18307
21,1005264.22278
22,1011792.58177
23,1018239.23659
24,1024606.09319
25,1030894.99022
26,1037107.70214
27,1043245.94214
28,1049311.36486
29,1055305.56906
30,1061230.1
31,1067086.45184
32,1072876.06981
33,1078600.35233
34,1084260.65293
35,1089858.28218
36,1095394.50946
37,1100870.56465
38,1106287.63971
39,1111646.89022
40,1116949.43686
41,1122196.36674
42,1127388.73473
43,1132527.56472
44,1137613.8508
45,1142648.55839
46,1147632.62531
47,1152566.96286
48,1157452.45673
49,1162289.96798
50,1167080.33393
51,1171824.36904
52,1176522.86567
53,1181176.5949
54,1185786.30729
55,1190352.73355
56,1194876.58526
57,1199358.55554
58,1203799.31961
59,1208199.53548
60,1212559.84445
61,1216880.87171
62,1221163.22685
63,1225407.50436
64,1229614.28415
65,1233784.132
66,1237917.6
67,1242015.22699
68,1246077.53899
69,1250105.04956
70,1254098.26025
71,1258057.66089
72,1261983.73002
73,1265876.93517
74,1269737.73324
75,1273566.57077
76,1277363.88428
77,1281130.10056
78,1284865.63693
79,1288570.90155
80,1292246.29364
81,1295892.20376
82,1299509.01408
83,1303097.09856
84,1306656.82321
85,1310188.54631
86,1313692.61864
87,1317169.38363
88,1320619.17761
89,1324042.33001
90,1327439.16348
91,1330809.99413
92,1334155.13169
93,1337474.87967
94,1340769.53551
95,1344039.39076
96,1347284.73122
97,1350505.8371
98,1353702.98313
99,1356876.43875
100,1360026.46819
101,1363153.33062
102,1366257.2803
103,1369338.56665
104,1372397.43441
105,1375434.12376
106,1378448.87039
107,1381441.90561
108,1384413.45652
109,1387363.74603
110,1390292.99301
111,1393201.41234
112,1396089.21505
113,1398956.60839
114,1401803.79591
115,1404630.97756
116,1407438.34973
117,1410226.10541
118,1412994.43418
119,1415743.52234
120,1418473.55297
121,1421184.70599
122,1423877.15825
123,1426551.08358
124,1429206.65286
125,1431844.03409
126,1434463.39242
127,1437064.89028
128,1439648.68737
