R,obj
129,1442214.94074
130,1444763.80485
131,1447295.43162
132,1449809.97051
133,1452307.5685
134,1454788.37022
135,1457252.51796
136,1459700.15171
137,1462131.40921
138,1464546.42604
139,1466945.33558
140,1469328.26913
141,1471695.35591
142,1474046.72311
143,1476382.49594
144,1478702.79764
145,1481007.74956
146,1483297.47115
147,1485572.08004
148,1487831.69205
149,1490076.42122
150,1492306.37985
151,1494521.67855
152,1496722.42624
153,1498908.7302
154,1501080.69611
155,1503238.42804
156,1505382.02853
157,1507511.59859
158,1509627.23771
159,1511729.04392
160,1513817.11382
161,1515891.54255
162,1517952.42391
163,1519999.85026
164,1522033.91268
165,1524054.70087
166,1526062.30326
167,1528056.807
168,1530038.29797
169,1532006.86081
170,1533962.57897
171,1535905.53467
172,1537835.80899
173,1539753.48182
174,1541658.63194
175,1543551.33699
176,1545431.67354
177,1547299.71705
178,1549155.54192
179,1550999.22151
180,1552830.82815
181,1554650.43315
182,1556458.10681
183,1558253.91848
184,1560037.9365
185,1561810.2283
186,1563570.86033
187,1565319.89815
188,1567057.40639
189,1568783.44879
190,1570498.08822
191,1572201.38665
192,1573893.40523
193,1575574.20424
194,1577243.84314
195,1578902.38056
196,1580549.87435
197,1582186.38152
198,1583811.95835
199,1585426.66029
200,1587030.54207
201,1588623.65766
202,1590206.06027
203,1591777.8024
204,1593338.93583
205,1594889.51161
206,1596429.58011
207,1597959.191
208,1599478.39326
209,1600987.23521
210,1602485.76451
211,1603974.02814
212,1605452.07246
213,1606919.94318
214,1608377.68539
215,1609825.34353
216,1611262.96146
217,1612690.58242
218,1614108.24906
219,1615516.00341
220,1616913.88695
221,1618301.94058
222,1619680.2046
223,1621048.71879
224,1622407.52234
225,1623756.65392
226,1625096.15163
227,1626426.05305
228,1627746.39523
229,1629057.21469
230,1630358.54744
231,1631650.42897
232,1632932.89427
233,1634205.97783
234,1635469.71365
235,1636724.13522
236,1637969.27557
237,1639205.16725
238,1640431.84232
239,1641649.33238
240,1642857.66857
241,1644056.88157
242,1645247.0016
243,1646428.05845
244,1647600.08145
245,1648763.09948
246,1649917.14101
247,1651062.23406
248,1652198.40623
249,1653325.68469
250,1654444.09621
251,1655553.66712
252,1656654.42336
253,1657746.39044
254,1658829.5935
255,1659904.05726
256,1660969.80603
257,1662026.86375
258,1663075.25397
259,1664114.99984
260,1665146.12413
261,1666168.64925
262,1667182.59722
263,1668187.98968
264,1669184.8479
265,1670173.1928
266,1671153.04493
267,1672124.42447
268,1673087.35125
269,1674041.84473
270,1674987.92404
271,1675925.60795
272,1676854.91487
273,1677775.86287
274,1678688.46969
275,1679592.75273
276,1680488.72902
277,1681376.41529
278,1682255.82793
279,1683126.98297
280,1683989.89614
281,1684844.58284
282,1685691.05813
283,1686529.33676
284,1687359.43314
285,1688181.36139
286,1688995.13528
287,1689800.76828
288,1690598.27355
289,1691387.66392
290,1692168.95193
291,1692942.14978
292,1693707.2694
293,1694464.32238
294,1695213.32002
295,1695954.27332
296,1696687.19296
297,1697412.08933
298,1698128.97251
299,1698837.85231
300,1699538.7382
301,1700231.63938
302,1700916.56474
303,1701593.5229
304,1702262.52215
305,1702923.57051
306,1703576.6757
307,1704221.84516
308,1704859.08602
309,1705488.40513
310,1706109.80906
311,1706723.30407
312,1707328.89615
313,1707926.591
314,1708516.39402
315,1709098.31035
316,1709672.34482
317,1710238.50197
318,1710796.78608
319,1711347.20114
320,1711889.75083
321,1712424.43857
322,1712951.2675
323,1713470.24045
324,1713981.35999
325,1714484.6284
326,1714980.04767
327,1715467.61951
328,1715947.34536
329,1716419.22635
330,1716883.26335
331,1717339.45693
332,1717787.80738
333,1718228.31471
334,1718660.97865
335,1719085.79863
336,1719502.7738
337,1719911.90304
338,1720313.18491
339,1720706.61773
340,1721092.19948
341,1721469.9279
342,1721839.80041
343,1722201.81415
344,1722555.96598
345,1722902.25245
346,1723240.66983
347,1723571.2141
348,1723893.88095
349,1724208.66577
350,1724515.56365
351,1724814.56938
352,1725105.67748
353,1725388.88214
354,1725664.17727
355,1725931.55648
356,1726191.01306
357,1726442.54001
358,1726686.13003
359,1726921.7755
360,1727149.46852
361,1727369.20084
362,1727580.96393
363,1727784.74894
364,1727980.54671
365,1728168.34775
366,1728348.14227
367,1728519.92016
368,1728683.67096
369,1728839.38394
370,1728987.048
371,1729126.65172
372,1729258.18337
373,1729381.63089
374,1729496.98185
375,1729604.22352
376,1729703.34282
377,1729794.32633
378,1729877.16029
379,1729951.83059
380,1730018.32278
381,1730076.62204
382,1730126.71321
383,1730168.58078
384,1730202.20887
385,1730227.58124
386,1730244.68129
387,1730253.49204
388,1730253.99615
389,1730246.17589
390,1730230.01318
391,1730205.48953
392,1730172.58608
393,1730131.28357
394,1730081.56236
395,1730023.40241
396,1729956.78327
397,1729881.68409
398,1729798.08363
399,1729705.96022
400,1729605.29177
401,1729496.05579
402,1729378.22933
403,1729251.78906
404,1729116.71116
405,1728972.97142
406,1728820.54516
407,1728659.40725
408,1728489.53211
409,1728310.89372
410,1728123.46557
411,1727927.22069
412,1727722.13164
413,1727508.17049
414,1727285.30883
415,1727053.51776
416,1726812.76786
417,1726563.02925
418,1726304.27149
419,1726036.46365
420,1725759.57428
421,1725473.57138
422,1725178.42243
423,1724874.09435
424,1724560.55352
425,1724237.76575
426,1723905.69631
427,1723564.30986
428,1723213.57049
429,1722853.44172
430,1722483.88644
431,1722104.86695
432,1721716.34494
433,1721318.28146
434,1720910.63693
435,1720493.37114
436,1720066.44322
437,1719629.81163
438,1719183.43416
439,1718727.26794
440,1718261.26938
441,1717785.3942
442,1717299.5974
443,1716803.83326
444,1716298.05533
445,1715782.2164
446,1715256.2685
447,1714720.16291
448,1714173.85009
449,1713617.27973
450,1713050.40069
451,1712473.16104
452,1711885.50796
453,1711287.38783
454,1710678.74613
455,1710059.52748
456,1709429.67558
457,1708789.13324
458,1708137.84233
459,1707475.74378
460,1706802.77756
461,1706118.88267
462,1705423.9971
463,1704718.05783
464,1704001.00081
465,1703272.76094
466,1702533.27205
467,1701782.46688
468,1701020.27706
469,1700246.63307
470,1699461.46427
471,1698664.69881
472,1697856.26367
473,1697036.08458
474,1696204.08605
475,1695360.19131
476,1694504.32228
477,1693636.39958
478,1692756.34247
479,1691864.06883
480,1690959.49514
481,1690042.53646
482,1689113.10636
483,1688171.11693
484,1687216.47874
485,1686249.1008
486,1685268.89052
487,1684275.75368
488,1683269.59442
489,1682250.31516
490,1681217.81661
491,1680171.99768
492,1679112.75548
493,1678039.98527
494,1676953.5804
495,1675853.43229
496,1674739.43038
497,1673611.46206
498,1672469.41267
499,1671313.16539
500,1670142.60125
501,1668957.59903
502,1667758.03525
503,1666543.78406
504,1665314.71723
505,1664070.70408
506,1662811.61139
507,1661537.30339
508,1660247.64164
509,1658942.48499
510,1657621.68952
511,1656285.10844
512,1654932.59203
513,1653563.98758
514,1652179.13927
515,1650777.88814
516,1649360.07193
517,1647925.52509
518,1646474.0786
519,1645005.55991
520,1643519.79285
521,1642016.59753
522,1640495.7902
523,1638957.18318
524,1637400.58473
525,1635825.79892
526,1634232.62552
527,1632620.85989
528,1630990.2928
529,1629340.71035
530,1627671.89378
531,1625983.61934
532,1624275.65814
533,1622547.77599
534,1620799.73322
535,1619031.28452
536,1617242.17873
537,1615432.1587
538,1613600.96104
539,1611748.31596
540,1609873.94701
541,1607977.57091
542,1606058.89727
543,1604117.62835
544,1602153.45885
545,1600166.07558
546,1598155.15723
547,1596120.37405
548,1594061.38756
549,1591977.85023
550,1589869.40514
551,1587735.68562
552,1585576.31489
553,1583390.90568
554,1581179.05983
555,1578940.36784
556,1576674.40843
557,1574380.74808
558,1572058.94055
559,1569708.5263
560,1567329.032
561,1564919.96993
562,1562480.83738
563,1560011.11597
564,1557510.27101
565,1554977.75077
566,1552412.98572
567,1549815.38771
568,1547184.34915
569,1544519.24208
570,1541819.41723
571,1539084.203
572,1536312.90439
573,1533504.80183
574,1530659.15
575,1527775.17651
576,1524852.08051
577,1521889.03124
578,1518885.16644
579,1515839.59067
580,1512751.37351
581,1509619.54766
582,1506443.10683
583,1503221.00357
584,1499952.14688
585,1496635.39962
586,1493269.57582
587,1489853.43764
588,1486385.69223
589,1482864.98824
590,1479289.91207
591,1475658.98381
592,1471970.65288
593,1468223.29317
594,1464415.19789
595,1460544.57388
596,1456609.53536
597,1452608.09722
598,1448538.16753
599,1444397.5394
600,1440183.88196
601,1435894.73053
602,1431527.47563
603,1427079.35088
604,1422547.41958
605,1417928.55976
606,1413219.44749
607,1408416.53832
608,1403516.04628
609,1398513.92049
610,1393405.8186
611,1388187.07683
612,1382852.67593
613,1377397.20236
614,1371814.80393
615,1366099.13883
616,1360243.31684
617,1354239.83124
618,1348080.47946
619,1341756.27033
620,1335257.31485
621,1328572.69691
622,1321690.31934
623,1314596.7192
624,1307276.84463
625,1299713.7831
626,1291888.42751
627,1283779.0621
628,1275360.84365
629,1266605.14383
630,1257478.70533
631,1247942.54357
632,1237950.49523
633,1227447.26594
634,1216365.7525
635,1204623.2861
636,1192116.2243
637,1178711.92824
638,1164236.43254
639,1148454.67739
640,1131037.1445
641,1111499.82528
642,1089086.98228
643,1062515.78453
644,1029327.63054
645,983799.93475
