R,obj
800,965944.97791
801,960838.23646
802,955695.201458
803,950515.426664
804,945298.457251
805,940043.82959
806,934751.071021
807,929419.699622
808,924049.22397
809,918639.14289
810,913188.945201
811,907698.109453
812,902166.103652
813,896592.384977
814,890976.399491
815,885317.58184
816,879615.354937
817,873869.129647
818,868078.304446
819,862242.265083
820,856360.384222
821,850432.02107
822,844456.520997
823,838433.215145
824,832361.420008
825,826240.43702
826,820069.552107
827,813848.035234
828,807575.139936
829,801250.102822
830,794872.143074
831,788440.461917
832,781954.242073
833,775412.647192
834,768814.821268
835,762159.888023
836,755446.950273
837,748675.08927
838,741843.364012
839,734950.810536
840,727996.441169
841,720979.243763
842,713898.180889
843,706752.189004
844,699540.177576
845,692261.028186
846,684913.593577
847,677496.696676
848,670009.129563
849,662449.652408
850,654816.992352
851,647109.842342
852,639326.859919
853,631466.665948
854,623527.843293
855,615508.935432
