POJ_price_per_lb,R,ROJ_price_per_lb,obj
1.26426426426,0,4.0,467747.747748
1.26426426426,1,4.0,473569.219219
1.26426426426,2,4.0,479390.690691
1.26726726727,3,4.0,490509.459459
1.26726726727,4,4.0,496324.924925
1.26726726727,5,4.0,502140.39039
1.26726726727,6,4.0,507955.855856
1.27027027027,7,4.0,519044.594595
1.27027027027,8,4.0,524854.054054
1.27027027027,9,4.0,530663.513514
1.27027027027,10,4.0,536472.972973
1.27327327327,11,4.0,547531.681682
1.27327327327,12,4.0,553335.135135
1.27327327327,13,4.0,559138.588589
1.27327327327,14,4.0,564942.042042
1.27627627628,15,4.0,575970.720721
1.27627627628,16,4.0,581768.168168
1.27627627628,17,4.0,587565.615616
1.27627627628,18,4.0,593363.063063
1.27927927928,19,4.0,604361.711712
1.27927927928,20,4.0,610153.153153
1.27927927928,21,4.0,615944.594595
1.27927927928,22,4.0,621736.036036
1.28228228228,23,4.0,632704.654655
1.28228228228,24,4.0,638490.09009
1.28228228228,25,4.0,644275.525526
1.28228228228,26,4.0,650060.960961
1.28528528529,27,4.0,660999.54955
1.28528528529,28,4.0,666778.978979
1.28528528529,29,4.0,672558.408408
1.28528528529,30,4.0,678337.837838
1.28828828829,31,4.0,689246.396396
1.28828828829,32,4.0,695019.81982
1.28828828829,33,4.0,700793.243243
1.28828828829,34,4.0,706566.666667
1.29129129129,35,4.0,717445.195195
1.29129129129,36,4.0,723212.612613
1.29129129129,37,4.0,728980.03003
1.29129129129,38,4.0,734747.447447
1.29429429429,39,4.0,745595.945946
1.29429429429,40,4.0,751357.357357
1.29429429429,41,4.0,757118.768769
1.29429429429,42,4.0,762880.18018
1.2972972973,43,4.0,773698.648649
1.2972972973,44,4.0,779454.054054
1.2972972973,45,4.0,785209.459459
1.2972972973,46,4.0,790964.864865
1.3003003003,47,4.0,801753.303303
1.3003003003,48,4.0,807502.702703
1.3003003003,49,4.0,813252.102102
1.3033033033,50,4.0,824016.516517
1.3033033033,51,4.0,829759.90991
1.3033033033,52,4.0,835503.303303
1.3033033033,53,4.0,841246.696697
1.30630630631,54,4.0,851981.081081
1.30630630631,55,4.0,857718.468468
1.30630630631,56,4.0,863455.855856
1.30630630631,57,4.0,869193.243243
1.30930930931,58,4.0,879897.597598
1.30930930931,59,4.0,885628.978979
1.30930930931,60,4.0,891360.36036
1.30930930931,61,4.0,897091.741742
1.31231231231,62,4.0,907766.066066
1.31231231231,63,4.0,913491.441441
1.31231231231,64,4.0,919216.816817
1.31531531532,65,4.0,929867.117117
1.31531531532,66,4.0,935586.486486
1.31531531532,67,4.0,941305.855856
1.31531531532,68,4.0,947025.225225
1.31831831832,69,4.0,957645.495495
1.31831831832,70,4.0,963358.858859
1.31831831832,71,4.0,969072.222222
1.31831831832,72,4.0,974785.585586
1.32132132132,73,4.0,985375.825826
1.32132132132,74,4.0,991083.183183
1.32132132132,75,4.0,996790.540541
1.32432432432,76,4.0,1007356.75676
1.32432432432,77,4.0,1013058.10811
1.32432432432,78,4.0,1018759.45946
1.32432432432,79,3.98198198198,1021613.96396
1.32732732733,80,3.96096096096,1028750.75075
1.32732732733,81,3.93693693694,1030476.12613
1.32732732733,82,3.91591591592,1032597.8979
1.33033033033,83,3.89489489489,1039452.4024
1.33033033033,84,3.87387387387,1041400.0
1.33033033033,85,3.85585585586,1043774.02402
1.33033033033,86,3.83483483483,1045559.45946
1.33333333333,87,3.81381381381,1052053.6036
1.33333333333,88,3.7957957958,1054193.39339
1.33333333333,89,3.77477477477,1055726.57658
1.33633633634,90,3.75675675676,1062490.99099
1.33633633634,91,3.73873873874,1064402.55255
1.33633633634,92,3.72072072072,1066242.04204
1.33633633634,93,3.7027027027,1068009.45946
1.33933933934,94,3.68468468468,1074455.55556
1.33933933934,95,3.66666666667,1076072.82282
1.33933933934,96,3.64864864865,1077618.01802
1.34234234234,97,3.63363363363,1084406.45646
1.34234234234,98,3.61561561562,1085807.50751
1.34234234234,99,3.6006006006,1087731.08108
1.34234234234,100,3.58258258258,1088993.99399
1.34534534535,101,3.56756756757,1095500.15015
1.34534534535,102,3.55255255255,1097231.53153
1.34534534535,103,3.53453453453,1098284.23423
1.34834834835,104,3.51951951952,1104580.18018
1.34834834835,105,3.5045045045,1106119.36937
1.34834834835,106,3.48948948949,1107598.4985
1.34834834835,107,3.47447447447,1109017.56757
1.35135135135,108,3.45945945946,1115043.24324
1.35135135135,109,3.44444444444,1116336.18619
1.35135135135,110,3.43243243243,1118229.72973
1.35435435435,111,3.41741741742,1124057.20721
1.35435435435,112,3.4024024024,1125169.96997
1.35435435435,113,3.39039039039,1126901.35135
1.35735735736,114,3.37537537538,1132530.63063
1.35735735736,115,3.36336336336,1134153.9039
1.35735735736,116,3.34834834835,1135032.43243
1.35735735736,117,3.33633633634,1136553.6036
1.36036036036,118,3.32132132132,1141924.62462
1.36036036036,119,3.30930930931,1143337.68769
1.36036036036,120,3.2972972973,1144702.7027
1.36336336336,121,3.28528528529,1150608.25826
1.36336336336,122,3.27327327327,1151871.17117
1.36336336336,123,3.26126126126,1153086.03604
1.36636636637,124,3.24624624625,1158078.67868
1.36636636637,125,3.23423423423,1159185.43544
1.36636636637,126,3.22522522523,1161000.9009
1.36636636637,127,3.21321321321,1162017.56757
1.36936936937,128,3.2012012012,1167532.73273
1.36936936937,129,3.18918918919,1168447.2973
1.36936936937,130,3.17717717718,1169313.81381
1.37237237237,131,3.16516516517,1174660.81081
1.37237237237,132,3.15615615616,1176218.01802
1.37237237237,133,3.14414414414,1176940.39039
1.37537537538,134,3.13213213213,1182125.22523
1.37537537538,135,3.12312312312,1183556.30631
1.37537537538,136,3.11111111111,1184134.53453
1.37837837838,137,3.1021021021,1189980.03003
1.37837837838,138,3.09009009009,1190462.16216
1.37837837838,139,3.08108108108,1191731.08108
1.38138138138,140,3.06906906907,1196597.5976
1.38138138138,141,3.06006006006,1197782.43243
1.38138138138,142,3.05105105105,1198931.23123
1.38138138138,143,3.03903903904,1199185.13514
1.38438438438,144,3.03003003003,1204706.30631
1.38438438438,145,3.02102102102,1205734.98498
1.38438438438,146,3.01201201201,1206727.62763
1.38738738739,147,3.0,1211233.78378
1.38738738739,148,2.99099099099,1212142.34234
1.38738738739,149,2.98198198198,1213014.86486
1.39039039039,150,2.97297297297,1218265.76577
1.39039039039,151,2.96396396396,1219060.21021
1.39039039039,152,2.95495495495,1219818.61862
1.39339339339,153,2.94594594595,1224937.38739
1.39339339339,154,2.93693693694,1225617.71772
1.39339339339,155,2.92792792793,1226262.01201
1.3963963964,156,2.91891891892,1231248.64865
1.3963963964,157,2.90990990991,1231814.86486
1.3963963964,158,2.9009009009,1232345.04505
1.3993993994,159,2.89189189189,1237199.54955
1.3993993994,160,2.88288288288,1237651.65165
1.3993993994,161,2.87687687688,1239034.68468
1.4024024024,162,2.86786786787,1243763.06306
1.4024024024,163,2.85885885886,1244107.05706
1.4024024024,164,2.84984984985,1244415.01502
1.40540540541,165,2.84384384384,1250002.25225
1.40540540541,166,2.83483483483,1250238.13814
1.40540540541,167,2.82582582583,1250437.98799
1.40840840841,168,2.81981981982,1255917.11712
1.40840840841,169,2.81081081081,1256044.89489
1.40840840841,170,2.8018018018,1256136.63664
1.41141141141,171,2.7957957958,1261507.65766
1.41141141141,172,2.78678678679,1261527.32733
1.41141141141,173,2.78078078078,1262550.0
1.41441441441,174,2.77177177177,1266773.87387
1.41441441441,175,2.76576576577,1267736.48649
1.41441441441,176,2.75675675676,1267618.01802
1.41741741742,177,2.75075075075,1272778.82883
1.41741741742,178,2.74174174174,1272588.28829
1.41741741742,179,2.73573573574,1273436.78679
1.42042042042,180,2.72972972973,1278495.4955
1.42042042042,181,2.72072072072,1278202.85285
1.42042042042,182,2.71471471471,1278967.26727
1.42342342342,183,2.70870870871,1283923.87387
1.42342342342,184,2.6996996997,1283529.12913
1.42342342342,185,2.69369369369,1284209.45946
1.42642642643,186,2.68768768769,1289063.96396
1.42642642643,187,2.67867867868,1288567.11712
1.42642642643,188,2.67267267267,1289163.36336
1.42942942943,189,2.66666666667,1293915.76577
1.42942942943,190,2.66066066066,1294457.95796
1.42942942943,191,2.65165165165,1293828.97898
1.43243243243,192,2.64564564565,1298479.27928
1.43243243243,193,2.63963963964,1298937.38739
1.43543543544,194,2.63363363363,1303521.62162
1.43543543544,195,2.62762762763,1303925.67568
1.43543543544,196,2.62162162162,1304305.70571
1.43843843844,197,2.61561561562,1308793.84384
1.43843843844,198,2.60960960961,1309119.81982
1.43843843844,199,2.6006006006,1308226.57658
1.44144144144,200,2.59459459459,1312612.61261
1.44144144144,201,2.58858858859,1312854.5045
1.44144144144,202,2.58258258258,1313072.37237
1.44444444444,203,2.57657657658,1317362.31231
1.44444444444,204,2.57057057057,1317526.12613
1.44444444444,205,2.56456456456,1317665.91592
1.44744744745,206,2.55855855856,1321859.75976
1.44744744745,207,2.55255255255,1321945.4955
1.45045045045,208,2.54654654655,1326073.27327
1.45045045045,209,2.54054054054,1326104.95495
1.45045045045,210,2.53753753754,1327373.87387
1.45345345345,211,2.53153153153,1331411.56156
1.45345345345,212,2.52552552553,1331371.17117
1.45345345345,213,2.51951951952,1331306.75676
1.45645645646,214,2.51351351351,1335248.34835
1.45645645646,215,2.50750750751,1335129.87988
1.45945945946,216,2.5015015015,1339005.40541
1.45945945946,217,2.4954954955,1338832.88288
1.45945945946,218,2.49249249249,1339945.64565
1.46246246246,219,2.48648648649,1343731.08108
1.46246246246,220,2.48048048048,1343486.48649
1.46246246246,221,2.47447447447,1343217.86787
1.46546546547,222,2.46846846847,1346907.20721
1.46546546547,223,2.46546546547,1347923.87387
1.46846846847,224,2.45945945946,1351553.15315
1.46846846847,225,2.45345345345,1351182.43243
1.46846846847,226,2.44744744745,1350787.68769
1.47147147147,227,2.44444444444,1355684.23423
1.47147147147,228,2.43843843844,1355241.44144
1.47147147147,229,2.43243243243,1354774.62462
1.47447447447,230,2.42942942943,1359599.0991
1.47447447447,231,2.42342342342,1359084.23423
1.47747747748,232,2.41741741742,1362467.26727
1.47747747748,233,2.41441441441,1363297.74775
1.47747747748,234,2.40840840841,1362710.81081
1.48048048048,235,2.4024024024,1366003.75375
1.48048048048,236,2.3993993994,1366780.18018
1.48348348348,237,2.39339339339,1370013.06306
1.48348348348,238,2.39039039039,1370753.45345
1.48348348348,239,2.38438438438,1370046.3964
1.48648648649,240,2.37837837838,1373189.18919
1.48648648649,241,2.37537537538,1373875.52553
1.48948948949,242,2.36936936937,1376958.25826
1.48948948949,243,2.36636636637,1377608.55856
1.48948948949,244,2.36036036036,1376781.38138
1.49249249249,245,2.35735735736,1381245.4955
1.49249249249,246,2.35135135135,1380370.27027
1.49249249249,247,2.34834834835,1380954.5045
1.4954954955,248,2.34234234234,1383863.06306
1.4954954955,249,2.33933933934,1384411.26126
1.4984984985,250,2.33333333333,1387259.75976
1.4984984985,251,2.33033033033,1387771.92192
1.5015015015,252,2.32432432432,1390560.36036
1.5015015015,253,2.32132132132,1391036.48649
1.5015015015,254,2.31531531532,1389975.07508
1.5045045045,255,2.31231231231,1394204.95495
1.5045045045,256,2.30630630631,1393095.4955
1.50750750751,257,2.3033033033,1397277.32733
1.50750750751,258,2.2972972973,1396119.81982
1.50750750751,259,2.29429429429,1396493.84384
1.51051051051,260,2.29129129129,1400609.60961
1.51051051051,261,2.28528528529,1399386.03604
1.51351351351,262,2.28228228228,1403453.75375
1.51351351351,263,2.27627627628,1402182.13213
1.51351351351,264,2.27327327327,1402472.07207
1.51651651652,265,2.27027027027,1406473.72372
