demand,price,region,sales,revenue,weekly_demand
3430.24671874,1.54545454545,NE,1715.12335937,10602580.7669834,857.561679685
8461.56722629,1.54545454545,MA,4230.78361315,26153935.0630013,2115.3918065725
3024.01961935,1.54545454545,SE,1512.00980968,9346969.73250887,756.0049048375
3100.39077111,1.54545454545,MW,1550.19538555,9583026.01976636,775.0976927775
2214.55180979,1.54545454545,DS,1107.2759049,6844978.32114896,553.6379524475
1107.90892274,1.54545454545,NW,553.954461371,3424445.76118629,276.977230685
2422.7376356,1.54545454545,SW,1211.3688178,7488461.78274161,605.6844089
