demand,price,region,sales,revenue,weekly_demand
1751,1.81818181818,NE,1751,6367272.72726636,437.75
3678,1.81818181818,MA,3678,13374545.4545321,919.5
1421,1.81818181818,SE,1421,5167272.72726756,355.25
2048,1.81818181818,MW,2048,7447272.72726528,512
4572.95206268,1.54545454545,DS,2286.47603134,14134579.1027875,1143.23801567
1264.05807792,1.54545454545,NW,632.029038959,3907088.60446851,316.01451948
2219.33599561,1.54545454545,SW,1109.66799781,6859765.80459255,554.8339989025
